salePrice,bedroom,bathroom,sqftArea,sqftLot,yearBuilt,old,univ
385000,3,2,2592,258746.4,1875,yes,MICH
250000,3,2,1863,15246,1967,no,MICH
362000,5,4,2464,16552.8,1996,no,MICH
460000,3,3.5,3132,27007.2,1987,no,MICH
281000,4,2,1531,9583,1965,no,MICH
296500,4,2,1395,9583,1966,no,MICH
311500,3,2,1600,21344.4,1968,no,MICH
165000,2,1,744,23958,1953,yes,MICH
300000,3,1.5,1320,12632.4,1955,no,MICH
151900,4,1,1148,12196.8,1945,yes,MICH
198100,3,1.5,988,8276,1964,no,MICH
345000,3,2,1558,8276,1964,no,MICH
286500,3,1.5,1428,7405,1965,no,MICH
292600,4,2,1842,6447,1962,no,MICH
180000,3,1.5,1050,7405,1960,no,MICH
260000,3,3,2208,7928,1981,no,MICH
220000,3,3,1200,11761.2,1990,no,MICH
216000,3,1,1025,10018,1959,no,MICH
364900,3,2,1600,9583,1926,yes,MICH
188000,3,1,1006,7840,1956,no,MICH
240000,3,1,1144,6969,1950,yes,MICH
324000,3,2.5,1902,7405,1989,no,MICH
127100,3,1,1101,10018,1994,no,MICH
595000,4,3,2575,21344.4,1999,no,MICH
387500,4,3.5,2277,11325.6,1999,no,MICH
460000,4,2.5,2932,113256,2000,no,MICH
950000,5,4.5,3988,42253.2,1950,yes,MICH
525000,4,3,3724,64468.8,2003,no,MICH
450000,4,3,3193,125888.4,1997,no,MICH
400000,3,3.5,1999,7280,1995,no,MICH
433000,4,3,2418,8712,1968,no,MICH
325000,4,3,1944,8276,1965,no,MICH
438600,4,4,2397,13068,1966,no,MICH
430000,4,4,2655,7405,1988,no,MICH
330000,4,3,1944,8276,1971,no,MICH
385100,4,2.5,2390,9583,1983,no,MICH
202000,3,4,1500,2178,1973,no,MICH
243000,4,2,1684,10454,1977,no,MICH
260000,3,1.5,1308,9147,1966,no,MICH
399000,4,2.5,2297,6969,1963,no,MICH
292000,3,2,1646,8276,1964,no,MICH
280000,3,2,1304,7840,1965,no,MICH
205000,3,1,988,7840,1969,no,MICH
236600,3,1.5,988,8276,1969,no,MICH
385000,4,2,1953,43560,1962,no,MICH
725000,4,2.5,3362,100188,1900,yes,MICH
201000,3,1,988,9147,1964,no,MICH
365000,3,3,2122,42253.2,1946,yes,MICH
315000,4,2,1408,10846,1960,no,MICH
375000,4,3.5,2048,15246,1992,no,MICH
410000,4,3.1,2046,18295.2,1988,no,MICH
252000,3,2,1014,8276,1957,no,MICH
260000,3,2,950,9583,1958,no,MICH
208000,3,1,1040,6926,1956,no,MICH
300000,4,2.5,1472,7405,1960,no,MICH
270000,3,1.5,1400,7405,1961,no,MICH
220000,4,1,1267,7405,1961,no,MICH
201000,3,1,1024,9147,1958,no,MICH
239900,3,2,1287,7318,1962,no,MICH
231500,4,1.5,1287,6969,1962,no,MICH
280000,3,1,1086,6098,1948,yes,MICH
229000,3,1.5,1107,8494,1960,no,MICH
130000,3,2,1456,10454,1984,no,MICH
286000,3,1,1200,6098,1954,yes,MICH
344000,3,2,1605,6098,1953,yes,MICH
231500,3,1,988,6969,1954,yes,MICH
525000,4,3,2001,7840,1955,no,MICH
269000,4,3,1346,9583,1952,yes,MICH
282000,3,2,864,6969,1953,yes,MICH
290000,4,1.5,1344,23086.8,1954,yes,MICH
290000,4,1,988,7187,1967,no,MICH
247000,3,1,1073,9583,1955,no,MICH
275000,4,1.5,1080,5053,1947,yes,MICH
361000,4,2,1272,6534,1947,yes,MICH
423600,3,1,1354,6969,1926,yes,MICH
271000,2,1,1008,15681.6,1901,yes,MICH
385000,3,2,1618,2178,1992,no,MICH
525000,3,4.5,1812,3920,2011,no,MICH
